Genre,MovieName,positive_tweet_count,negetive_tweet_count,neutral_tweet_count,total_tweet_count
ComedyMovie,fightingwithmyfa,,25,0,12,37
KidsMovie,toys,,238,9,360,607
ComedyMovie,thesecretlifeofp,,1,0,7,8
SciFiMovie,thewanderinge,,6,0,5,11
ActionMovie,johnw,,90,3,123,216
ActionMovie,j,,105,1,325,431
ComedyMovie,playingwith,,151,10,403,564
ActionMovie,hobbsand,,134,6,183,323
SciFiMovie,theriseofskywa,,213,15,760,988
KidsMovie,all,,6,0,12,18
SciFiMovie,ada,,61,1,106,168
KidsMovie,fro,,2262,50,4304,6616
ActionMovie,spide,,88,2,186,276
KidsMovie,lion,,361,16,709,1086
ComedyMovie,no,,731,9,638,1378
SciFiMovie,terminatordark,,637,52,1089,1778
